Date,SPY Close,SPY Return,SPY_1W,SPY_1M,SPY_3M,SPY_6M
2017-08-29,244.8500061,,0.006875313,-0.010639117,0.012712246,0.019976681
2017-08-30,246.0099945,0.004737547,-0.002403831,-0.008343111,0.014123607,0.027615737
2017-08-31,247.4900055,0.00601606,0.005929003,-0.00307983,0.010889193,0.031834563
2017-09-01,247.8399963,0.001414162,0.01434485,0.000687361,0.013597114,0.041142562
2017-09-05,246.0599976,-0.007182048,0.013411837,0.001616529,0.015779297,0.045738381
2017-09-06,246.8999939,0.003413787,0.006092285,-0.003644352,0.01171823,0.040158945
2017-09-07,246.8699951,-0.000121502,0.008372423,-0.002061395,0.013297177,0.04238788
2017-09-08,246.5800018,-0.00117468,0.003495795,-0.004034373,0.012675348,0.038621703
2017-09-11,249.2100067,0.010665929,-0.003676931,-0.002750112,0.013023286,0.036878198
2017-09-12,250.0500031,0.003370636,0.005527802,0.007927226,0.024038487,0.051962909
2017-09-13,250.1699982,0.000479884,0.01621558,0.025804105,0.022490288,0.046453259
2017-09-14,250.0899963,-0.00031979,0.013244246,0.024782907,0.024279367,0.049018797
2017-09-15,249.1900024,-0.00359868,0.013043307,0.014399299,0.025926045,0.055098501
2017-09-18,249.7200012,0.002126886,0.010584802,0.010871802,0.026994737,0.052455961
2017-09-19,249.9700012,0.001001121,0.002046445,0.01125779,0.020681752,0.068412295
2017-09-20,250.0599976,0.000360029,-0.000319943,0.028302295,0.028640825,0.066971156
2017-09-21,249.3899994,-0.00267935,-0.000439703,0.030283015,0.029265284,0.068495487
2017-09-22,249.4400024,0.000200501,-0.00279898,0.026718838,0.026972505,0.066407247
2017-09-25,248.9299927,-0.002044619,0.001003251,0.016297262,0.025953183,0.067716838
2017-09-26,249.0800018,0.000602616,-0.003163577,0.017868806,0.023182209,0.057836074
2017-09-27,250.0500031,0.003894336,-0.003560425,0.020861495,0.032113703,0.057484966
2017-09-28,250.3500061,0.001199772,-4.00E-05,0.022448502,0.026941548,0.05823357
2017-09-29,251.2299957,0.003515037,0.003849419,0.02363331,0.037290241,0.061975058
2017-10-02,252.3200073,0.0043387,0.007176047,0.026056726,0.038999142,0.06756467
2017-10-03,252.8600006,0.002140113,0.013618346,0.025649417,0.04174064,0.071513555
2017-10-04,253.1600037,0.001186439,0.015175842,0.021697826,0.041561956,0.077008271
2017-10-05,254.6600037,0.005925107,0.012437515,0.021465491,0.052421536,0.075263341
2017-10-06,254.3699951,-0.001138807,0.017215888,0.03495085,0.051835955,0.082738125
2017-10-09,253.9499969,-0.001651131,0.012498505,0.03025517,0.049511079,0.080861728
2017-10-10,254.6199951,0.002638307,0.006460009,0.02867907,0.048556895,0.080362459
2017-10-11,255.0200043,0.001571004,0.006960352,0.032606023,0.043481828,0.087980158
2017-10-12,254.6399994,-0.001490098,0.007347135,0.023313661,0.043367998,0.096813085
2017-10-13,254.9499969,0.001217395,-7.86E-05,0.018356314,0.036976714,0.085560777
2017-10-16,255.2899933,0.00133358,0.00228015,0.019107002,0.038365977,0.090135555
2017-10-17,255.4700012,0.000705112,0.005276615,0.020792503,0.039200478,0.093600028
2017-10-18,255.7200012,0.000978588,0.003338332,0.025201648,0.034333356,0.085535843
2017-10-19,255.7899933,0.000273706,0.002744871,0.02402691,0.034884641,0.090072063
2017-10-20,257.1099854,0.005160452,0.004516156,0.023282762,0.036090361,0.078509066
2017-10-23,256.1099854,-0.003889386,0.008472204,0.028193185,0.04169021,0.07780332
2017-10-24,256.5599976,0.001757105,0.003212002,0.026945691,0.035122412,0.074286879
2017-10-25,255.2899933,-0.004950126,0.004266631,0.028543919,0.036899346,0.075272385
2017-10-26,255.6199951,0.001292655,-0.001681558,0.025549354,0.032726523,0.07228659
2017-10-27,257.7099915,0.008176185,-0.000664601,0.026256597,0.035275976,0.070973701
2017-10-30,256.75,-0.003725084,0.002333655,0.030633826,0.044332727,0.079323143
2017-10-31,257.1499939,0.001557912,0.002498984,0.025564185,0.038128709,0.076610217
2017-11-01,257.4899902,0.001322171,0.002299643,0.023564058,0.039241801,0.077022951
2017-11-02,257.5899963,0.000388388,0.008617639,0.020489786,0.042638416,0.074217745
2017-11-03,258.4500122,0.003338701,0.007706757,0.018705986,0.041146245,0.074814289
2017-11-06,258.8500061,0.001547664,0.002871525,0.02089591,0.042683735,0.079393625
2017-11-07,258.6700134,-0.000695355,0.008179186,0.01645332,0.046873784,0.079126241
2017-11-08,259.1099854,0.0017009,0.005911023,0.016904581,0.046188123,0.080583207
2017-11-09,258.1700134,-0.003627695,0.006291488,0.020318915,0.062971739,0.084232948
2017-11-10,258.0899963,-0.00030994,0.002251707,0.013942418,0.057553738,0.074365419
2017-11-13,258.3299866,0.00092987,-0.001392981,0.01203824,0.046848395,0.075016638
2017-11-14,257.730011,-0.002322516,-0.002008961,0.014490996,0.047949342,0.095454069
2017-11-15,256.4400024,-0.005005271,-0.003633983,0.010904154,0.043694859,0.088524755
2017-11-16,258.6199951,0.008500985,-0.010304439,0.004504717,0.054917958,0.076077399
2017-11-17,257.8599854,-0.002938712,0.001742967,0.012330191,0.065551432,0.079742779
2017-11-20,258.2999878,0.001706362,-0.000891205,0.008368466,0.061589098,0.074192802
2017-11-21,259.9899902,0.006542789,-0.000116126,0.009812716,0.052395637,0.073521413
2017-11-22,259.7600098,-0.000884574,0.008768786,0.011201451,0.063092872,0.075405345
2017-11-24,260.3599854,0.00230973,0.012946527,0.014251785,0.064633813,0.074676275
2017-11-27,260.230011,-0.00049921,0.00672798,0.014811303,0.064605773,0.078095177
2017-11-28,262.8699951,0.01014481,0.009191134,0.019350612,0.064030761,0.077824753
2017-11-29,262.7099915,-0.00060868,0.017692635,0.028362413,0.073596033,0.080169274
2017-11-30,265.0100098,0.008754971,0.010461946,0.019401654,0.067883408,0.075930677
2017-12-01,264.4599915,-0.002075462,0.020210963,0.032171411,0.070790755,0.086151087
2017-12-04,264.1400146,-0.001209925,0.015747451,0.028426979,0.067059374,0.087372987
2017-12-05,263.1900024,-0.003596624,0.015025183,0.025826341,0.073478084,0.084051591
2017-12-06,263.2399902,0.00018993,0.00121736,0.021739998,0.065978165,0.079620985
2017-12-07,264.0700073,0.003153081,0.002017429,0.01853348,0.066310185,0.081467426
2017-12-08,265.5100098,0.005453109,-0.003547045,0.020166124,0.070930349,0.08510029
2017-12-11,266.3099976,0.003013023,0.003970424,0.026442943,0.065406696,0.08570847
2017-12-12,266.7799988,0.001764865,0.008215275,0.027787475,0.065026972,0.090361905
2017-12-13,266.75,-0.000112448,0.013640322,0.03335006,0.066394854,0.094392231
2017-12-14,265.6600037,-0.004086209,0.013333877,0.033554201,0.066616034,0.099365318
